LOCATION,Country,Value,GDPPerCapita
COL,Colombia,80,
LTU,Lithuania,88,
COL,Colombia,59,
LTU,Lithuania,94,
COL,Colombia,56,
LTU,Lithuania,91,
COL,Colombia,61,
LTU,Lithuania,96,
COL,Colombia,406,
LTU,Lithuania,480,
COL,Colombia,409,
LTU,Lithuania,472,
COL,Colombia,402,
LTU,Lithuania,488,
COL,Colombia,459,
LTU,Lithuania,522,
COL,Colombia,373,
LTU,Lithuania,432,
COL,Colombia,14,
LTU,Lithuania,18,
COL,Colombia,14,
LTU,Lithuania,18,
COL,Colombia,14,
LTU,Lithuania,19,
COL,Colombia,22.6,
LTU,Lithuania,10.5,
COL,Colombia,82,
LTU,Lithuania,83,
COL,Colombia,80,
LTU,Lithuania,85,
COL,Colombia,83,
LTU,Lithuania,81,
COL,Colombia,53,
LTU,Lithuania,57,
COL,Colombia,76.7,
LTU,Lithuania,76.4,
COL,Colombia,73.5,
LTU,Lithuania,71.6,
COL,Colombia,79.9,
LTU,Lithuania,81.2,
COL,Colombia,80,
LTU,Lithuania,46,
COL,Colombia,84,
LTU,Lithuania,52,
COL,Colombia,78,
LTU,Lithuania,42,
COL,Colombia,84,
LTU,Lithuania,67,
COL,Colombia,76,
LTU,Lithuania,26,
COL,Colombia,5.7,
LTU,Lithuania,6.4,
COL,Colombia,5.7,
LTU,Lithuania,6.6,
COL,Colombia,5.7,
LTU,Lithuania,6.2,
COL,Colombia,7.1,
LTU,Lithuania,7.2,
COL,Colombia,5.7,
LTU,Lithuania,6.2,
COL,Colombia,23.1,
LTU,Lithuania,2.5,
COL,Colombia,43,
LTU,Lithuania,4,
COL,Colombia,4.1,
LTU,Lithuania,1,
COL,Colombia,23.7,
LTU,Lithuania,1,
COL,Colombia,28.2,
LTU,Lithuania,1.1,
COL,Colombia,17.1,
LTU,Lithuania,0.8,
CRI,Costa Rica,1.8,
CRI,Costa Rica,2.3,
CRI,Costa Rica,17,
CRI,Costa Rica,47,
CRI,Costa Rica,59,
CRI,Costa Rica,36,
CRI,Costa Rica,1.2,
CRI,Costa Rica,16517,
CRI,Costa Rica,55,
CRI,Costa Rica,68,
CRI,Costa Rica,41,
CRI,Costa Rica,1.5,
CRI,Costa Rica,0.8,
CRI,Costa Rica,2.6,
CRI,Costa Rica,82,
CRI,Costa Rica,80,
CRI,Costa Rica,85,
CRI,Costa Rica,90,
CRI,Costa Rica,85,
CRI,Costa Rica,43,
CRI,Costa Rica,41,
CRI,Costa Rica,44,
CRI,Costa Rica,415,
CRI,Costa Rica,417,
CRI,Costa Rica,413,
CRI,Costa Rica,476,
CRI,Costa Rica,392,
CRI,Costa Rica,17.5,
CRI,Costa Rica,87,
CRI,Costa Rica,90,
CRI,Costa Rica,85,
CRI,Costa Rica,66,
CRI,Costa Rica,80.5,
CRI,Costa Rica,77.9,
CRI,Costa Rica,83,
CRI,Costa Rica,73,
CRI,Costa Rica,77,
CRI,Costa Rica,70,
CRI,Costa Rica,6.3,
CRI,Costa Rica,6.2,
CRI,Costa Rica,6.5,
CRI,Costa Rica,7.1,
CRI,Costa Rica,6.5,
CRI,Costa Rica,10,
CRI,Costa Rica,18.2,
CRI,Costa Rica,1.8,
CRI,Costa Rica,22,
CRI,Costa Rica,27.9,
CRI,Costa Rica,12.7,
